"resultId"	"raceId"	"piloteId"	"constructorId"	"numb"	"grid"	"post"	"positionText"	"positionOrder"	"points"	"laps"	"temps"	"fastestLap"	"level"	"fastestLapTime"	"fastestLapSpeed"	"statusId"	"pilote_Id"	"statue_Id"	"circuits_Id"	"qualif_Id"	"standing_Id"
1	18	1	1	22	1	1	1	1	"10.0"	58	"34:50.6"	39	2	"01:27.5"	"218.3"	1	1	1	1	1	1
2	18	2	2	3	5	2	2	2	"8.0"	58	"5.478"	41	3	"01:27.7"	"217.586"	1	2	2	2	2	2
3	18	3	3	7	7	3	3	3	"6.0"	58	"8.163"	41	5	"01:28.1"	"216.719"	1	3	3	3	3	3
4	18	4	4	5	11	4	4	4	"5.0"	58	"17.181"	58	7	"01:28.6"	"215.464"	1	4	4	4	4	4
5	18	5	1	23	3	5	5	5	"4.0"	58	"18.014"	43	1	"01:27.4"	"218.385"	1	5	5	5	5	5
6	18	6	3	8	13	6	6	6	"3.0"	57		50	14	"01:29.6"	"212.974"	11	6	6	6	6	6
7	18	7	5	14	17	7	7	7	"2.0"	55		22	12	"01:29.5"	"213.224"	5	7	7	7	7	7
8	18	8	6	1	15	8	8	8	"1.0"	53		20	4	"01:27.9"	"217.18"	5	8	8	8	8	8
9	18	9	2	4	2	0	"R"	9	"0.0"	47		15	9	"01:28.8"	"215.1"	4	9	9	9	9	9
10	18	10	7	12	18	0	"R"	10	"0.0"	43		23	13	"01:29.6"	"213.166"	3	10	10	10	10	10
11	18	11	8	18	19	0	"R"	11	"0.0"	32		24	15	"01:30.9"	"210.038"	7	11	11	11	11	11
12	18	12	4	6	20	0	"R"	12	"0.0"	30		20	16	"01:31.4"	"208.907"	8	12	12	12	12	12
13	18	13	6	2	4	0	"R"	13	"0.0"	29		23	6	"01:28.2"	"216.51"	5	13	13	13	13	13
14	18	14	9	9	8	0	"R"	14	"0.0"	25		21	11	"01:29.5"	"213.3"	4	14	14	14	14	14
15	18	15	7	11	6	0	"R"	15	"0.0"	19		18	10	"01:29.3"	"213.758"	10	15	15	15	15	15
16	18	16	10	20	22	0	"R"	16	"0.0"	8		8	17	"01:32.0"	"207.461"	9	16	16	16	16	16
17	18	17	9	10	14	0	"R"	17	"0.0"	0		0	0			4	17	17	17	17	17
18	18	18	11	16	12	0	"R"	18	"0.0"	0		0	0			4	18	18	18	18	18
19	18	19	8	19	21	0	"R"	19	"0.0"	0		0	0			4	19	19	19	19	19
20	18	20	5	15	9	0	"R"	20	"0.0"	0		0	0			4	20	20	20	20	20
21	18	21	10	21	16	0	"R"	21	"0.0"	0		0	0			4	21	21	21	21	21
22	18	22	11	17	10	0	"D"	22	"0.0"	58		44	8	"01:28.7"	"215.141"	2	22	22	22	22	22
23	19	8	6	1	2	1	1	1	"10.0"	56	"31:18.6"	37	2	"01:35.4"	"209.158"	1	8	23	23	23	23
24	19	9	2	4	4	2	2	2	"8.0"	56	"19.57"	39	6	"01:35.9"	"208.033"	1	9	24	24	24	24
25	19	5	1	23	8	3	3	3	"6.0"	56	"38.45"	19	7	"01:35.9"	"208.031"	1	5	25	25	25	25
26	19	15	7	11	3	4	4	4	"5.0"	56	"45.832"	53	8	"01:36.1"	"207.715"	1	15	26	26	26	26
27	19	1	1	22	9	5	5	5	"4.0"	56	"46.548"	53	3	"01:35.5"	"209.033"	1	1	27	27	27	27
28	19	2	2	3	5	6	6	6	"3.0"	56	"49.833"	55	1	"01:35.4"	"209.244"	1	2	28	28	28	28
29	19	17	9	10	6	7	7	7	"2.0"	56	"+1:08.130"	53	12	"01:36.7"	"206.366"	1	17	29	29	29	29
30	19	4	4	5	7	8	8	8	"1.0"	56	"+1:10.041"	40	10	"01:36.3"	"207.24"	1	4	30	30	30	30
31	19	14	9	9	12	9	9	9	"0.0"	56	"+1:16.220"	55	9	"01:36.2"	"207.417"	1	14	31	31	31	31
32	19	18	11	16	11	10	10	10	"0.0"	56	"+1:26.214"	56	4	"01:35.7"	"208.481"	1	18	32	32	32	32
33	19	12	4	6	13	11	11	11	"0.0"	56	"+1:32.202"	52	15	"01:37.0"	"205.812"	1	12	33	33	33	33
34	19	21	10	21	17	12	12	12	"0.0"	55		52	16	"01:37.0"	"205.8"	11	21	34	34	34	34
35	19	22	11	17	14	13	13	13	"0.0"	55		55	11	"01:36.7"	"206.372"	11	22	35	35	35	35
36	19	3	3	7	16	14	14	14	"0.0"	55		55	13	"01:36.8"	"206.182"	11	3	36	36	36	36
37	19	19	8	19	21	15	15	15	"0.0"	55		55	18	"01:38.2"	"203.265"	11	19	37	37	37	37
38	19	11	8	18	19	16	16	16	"0.0"	54		53	19	"01:38.5"	"202.578"	12	11	38	38	38	38
39	19	6	3	8	22	17	17	17	"0.0"	54		19	17	"01:37.7"	"204.222"	12	6	39	39	39	39
40	19	20	5	15	15	0	"R"	18	"0.0"	39		37	14	"01:36.9"	"205.995"	5	20	40	40	40	40
41	19	13	6	2	1	0	"R"	19	"0.0"	30		15	5	"01:35.9"	"208.048"	20	13	41	41	41	41
42	19	16	10	20	20	0	"R"	20	"0.0"	5		3	20	"01:40.3"	"198.891"	9	16	42	42	42	42
43	19	10	7	12	10	0	"R"	21	"0.0"	1		0	0			4	10	43	43	43	43
44	19	7	5	14	18	0	"R"	22	"0.0"	0		0	0			20	7	44	44	44	44
45	20	13	6	2	2	1	1	1	"10.0"	57	"31:07.0"	38	3	"01:33.6"	"208.153"	1	13	45	45	45	45
46	20	8	6	1	4	2	2	2	"8.0"	57	"3.339"	35	4	"01:33.7"	"207.911"	1	8	46	46	46	46
47	20	9	2	4	1	3	3	3	"6.0"	57	"4.998"	55	5	"01:33.8"	"207.765"	1	9	47	47	47	47
48	20	2	2	3	6	4	4	4	"5.0"	57	"8.409"	48	2	"01:33.6"	"208.231"	1	2	48	48	48	48
49	20	5	1	23	5	5	5	5	"4.0"	57	"26.789"	49	1	"01:33.2"	"209.062"	1	5	49	49	49	49
50	20	15	7	11	7	6	6	6	"3.0"	57	"41.314"	45	7	"01:34.2"	"206.819"	1	15	50	50	50	50
51	20	17	9	10	11	7	7	7	"2.0"	57	"45.473"	51	8	"01:34.3"	"206.597"	1	17	51	51	51	51
52	20	3	3	7	8	8	8	8	"1.0"	57	"55.889"	57	6	"01:34.1"	"207.109"	1	3	52	52	52	52
53	20	10	7	12	13	9	9	9	"0.0"	57	"+1:09.500"	56	9	"01:34.8"	"205.503"	1	10	53	53	53	53
54	20	4	4	5	10	10	10	10	"0.0"	57	"+1:17.181"	35	13	"01:35.2"	"204.668"	1	4	54	54	54	54
55	20	22	11	17	12	11	11	11	"0.0"	57	"+1:17.862"	40	10	"01:34.9"	"205.399"	1	22	55	55	55	55
56	20	21	10	21	18	12	12	12	"0.0"	56		56	11	"01:35.1"	"204.963"	11	21	56	56	56	56
57	20	1	1	22	3	13	13	13	"0.0"	56		25	19	"01:35.5"	"203.969"	11	1	57	57	57	57
58	20	6	3	8	16	14	14	14	"0.0"	56		30	17	"01:35.4"	"204.155"	11	6	58	58	58	58
59	20	7	5	14	15	15	15	15	"0.0"	56		33	15	"01:35.3"	"204.369"	11	7	59	59	59	59
60	20	19	8	19	21	16	16	16	"0.0"	56		45	14	"01:35.3"	"204.389"	11	19	60	60	60	60
61	20	11	8	18	22	17	17	17	"0.0"	56		56	20	"01:35.9"	"203.18"	11	11	61	61	61	61
62	20	14	9	9	17	18	18	18	"0.0"	56		43	16	"01:35.4"	"204.331"	11	14	62	62	62	62
63	20	16	10	20	20	19	19	19	"0.0"	56		55	18	"01:35.4"	"204.136"	12	16	63	63	63	63
64	20	12	4	6	14	0	"R"	20	"0.0"	40		31	12	"01:35.1"	"204.808"	6	12	64	64	64	64
65	20	18	11	16	9	0	"R"	21	"0.0"	19		11	21	"01:36.1"	"202.686"	4	18	65	65	65	65
66	20	20	5	15	19	0	"R"	22	"0.0"	0		0	0			5	20	66	66	66	66
67	21	8	6	1	1	1	1	1	"10.0"	66	"38:19.1"	46	1	"01:21.7"	"205.191"	1	8	67	67	67	67
68	21	13	6	2	3	2	2	2	"8.0"	66	"3.228"	45	2	"01:21.8"	"204.863"	1	13	68	68	68	68
69	21	1	1	22	5	3	3	3	"6.0"	66	"4.187"	20	3	"01:22.0"	"204.323"	1	1	69	69	69	69
70	21	9	2	4	4	4	4	4	"5.0"	66	"5.694"	20	4	"01:22.1"	"204.102"	1	9	70	70	70	70
71	21	17	9	10	7	5	5	5	"4.0"	66	"35.938"	19	8	"01:22.6"	"202.969"	1	17	71	71	71	71
72	21	18	11	16	13	6	6	6	"3.0"	66	"53.01"	66	5	"01:22.4"	"203.489"	1	18	72	72	72	72
73	21	6	3	8	12	7	7	7	"2.0"	66	"58.244"	48	15	"01:23.5"	"200.576"	1	6	73	73	73	73
74	21	15	7	11	8	8	8	8	"1.0"	66	"59.435"	45	10	"01:22.8"	"202.494"	1	15	74	74	74	74
75	21	2	2	3	9	9	9	9	"0.0"	66	"+1:03.073"	21	7	"01:22.5"	"203.08"	1	2	75	75	75	75
76	21	21	10	21	19	10	10	10	"0.0"	65		40	14	"01:23.4"	"200.841"	11	21	76	76	76	76
77	21	10	7	12	14	11	11	11	"0.0"	65		57	12	"01:23.0"	"201.886"	11	10	77	77	77	77
78	21	14	9	9	17	12	12	12	"0.0"	65		57	11	"01:22.8"	"202.288"	11	14	78	78	78	78
79	21	11	8	18	22	13	13	13	"0.0"	65		34	17	"01:24.6"	"198.045"	11	11	79	79	79	79
80	21	3	3	7	15	0	"R"	14	"0.0"	41		20	13	"01:23.3"	"201.13"	5	3	80	80	80	80
81	21	4	4	5	2	0	"R"	15	"0.0"	34		15	9	"01:22.7"	"202.677"	5	4	81	81	81	81
82	21	22	11	17	11	0	"R"	16	"0.0"	34		21	16	"01:23.9"	"199.837"	4	22	82	82	82	82
83	21	5	1	23	6	0	"R"	17	"0.0"	21		19	6	"01:22.5"	"203.243"	3	5	83	83	83	83
84	21	19	8	19	21	0	"R"	18	"0.0"	8		6	20	"01:26.9"	"192.922"	21	19	84	84	84	84
85	21	7	5	14	16	0	"R"	19	"0.0"	7		6	19	"01:26.0"	"194.862"	4	7	85	85	85	85
86	21	12	4	6	10	0	"R"	20	"0.0"	6		6	18	"01:25.4"	"196.128"	4	12	86	86	86	86
87	21	16	10	20	20	0	"R"	21	"0.0"	0		0	0			4	16	87	87	87	87
88	21	20	5	15	18	0	"R"	22	"0.0"	0		0	0			4	20	88	88	88	88
89	22	13	6	2	1	1	1	1	"10.0"	58	"26:49.5"	16	3	"01:26.7"	"221.734"	1	13	89	89	89	89
90	22	1	1	22	3	2	2	2	"8.0"	58	"3.779"	31	2	"01:26.5"	"222.085"	1	1	90	90	90	90
91	22	8	6	1	4	3	3	3	"6.0"	58	"4.271"	20	1	"01:26.5"	"222.144"	1	8	91	91	91	91
92	22	9	2	4	5	4	4	4	"5.0"	58	"21.945"	17	4	"01:26.8"	"221.442"	1	9	92	92	92	92
93	22	2	2	3	9	5	5	5	"4.0"	58	"38.741"	20	5	"01:27.2"	"220.328"	1	2	93	93	93	93
94	22	4	4	5	7	6	6	6	"3.0"	58	"53.724"	57	6	"01:27.3"	"220.174"	1	4	94	94	94	94
